Messwert-Nr.;ESC-Werte;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;0.28;0.08;-0.01;-1.04;-0.01
1;0.00;0.35;0.12;-0.01;-1.04;-0.02
2;0.00;0.39;0.16;-0.01;-1.04;-0.02
3;0.00;0.38;0.12;-0.00;-1.04;-0.02
4;0.00;0.51;0.12;-0.01;-1.04;-0.02
5;0.00;0.38;0.16;-0.01;-1.03;-0.01
6;0.00;0.36;0.16;-0.01;-1.04;-0.02
7;0.00;0.43;0.16;-0.01;-1.04;-0.02
8;0.00;0.56;0.12;-0.01;-1.04;-0.01
9;0.00;0.40;0.12;-0.01;-1.04;-0.01
10;0.00;0.45;0.12;-0.01;-1.04;-0.01
11;0.00;0.53;0.12;-0.01;-1.04;-0.01
12;0.00;0.47;0.12;-0.01;-1.04;-0.02
13;0.00;0.32;0.12;-0.01;-1.04;-0.01
14;0.00;0.38;0.12;-0.00;-1.04;-0.01
15;0.00;0.46;0.12;-0.01;-1.04;-0.01
16;0.00;0.22;0.12;-0.01;-1.04;-0.01
17;0.00;0.32;0.12;-0.01;-1.04;-0.01
18;0.00;0.39;0.12;-0.01;-1.03;-0.01
19;0.00;0.42;0.12;-0.01;-1.04;-0.01
20;0.00;0.45;0.12;-0.01;-1.04;-0.01
21;0.00;0.43;0.12;-0.01;-1.03;-0.02
22;0.00;0.33;0.12;-0.01;-1.04;-0.02
23;0.00;0.53;0.12;-0.01;-1.04;-0.01
24;0.00;0.53;0.12;-0.01;-1.04;-0.00
25;0.00;0.41;0.12;-0.01;-1.04;-0.02
26;0.00;0.30;0.12;-0.01;-1.04;-0.01
27;0.00;0.34;0.12;-0.01;-1.04;-0.01
28;0.00;0.35;0.12;-0.01;-1.04;-0.01
29;0.00;0.32;0.12;-0.01;-1.04;-0.01
30;0.00;0.36;0.12;-0.01;-1.04;-0.01
31;0.00;0.42;0.12;-0.01;-1.04;-0.02
32;0.00;0.45;0.12;-0.01;-1.04;-0.01
33;0.00;0.56;0.12;-0.01;-1.04;-0.01
34;0.00;0.55;0.12;-0.01;-1.04;-0.01
35;0.00;0.44;0.12;-0.01;-1.04;-0.02
36;0.00;0.38;0.12;-0.01;-1.04;-0.01
37;0.00;0.50;0.12;-0.01;-1.04;-0.01
38;0.00;0.43;0.12;-0.01;-1.04;-0.01
39;0.00;0.28;0.12;-0.01;-1.03;-0.01
40;0.00;0.36;0.12;-0.01;-1.04;-0.02
41;0.00;0.32;0.12;-0.01;-1.04;-0.02
42;0.00;0.32;0.12;-0.01;-1.04;-0.01
43;0.00;0.36;0.12;-0.01;-1.04;-0.01
44;0.00;0.53;0.12;-0.01;-1.04;-0.01
45;0.00;0.45;0.12;-0.01;-1.04;-0.01
46;0.00;0.38;0.12;-0.01;-1.04;-0.02
47;0.00;0.45;0.12;-0.01;-1.04;-0.01
48;0.00;0.34;0.12;-0.01;-1.04;-0.02
49;0.00;0.36;0.12;-0.01;-1.03;-0.01
50;0.00;0.40;0.12;-0.01;-1.04;-0.01
51;0.00;0.34;0.12;-0.01;-1.04;-0.02
52;0.00;0.21;0.12;-0.01;-1.03;-0.01
53;0.00;0.23;0.12;-0.01;-1.03;-0.01
54;0.00;0.47;0.12;-0.00;-1.04;-0.01
55;0.00;0.54;0.12;-0.01;-1.04;-0.01
56;0.00;0.35;0.12;-0.01;-1.04;-0.01
57;0.00;0.42;0.12;-0.01;-1.03;-0.01
58;0.00;0.55;0.12;-0.01;-1.03;-0.01
59;0.00;0.38;0.16;-0.01;-1.04;-0.02
60;0.00;0.43;0.16;-0.01;-1.04;-0.01
61;0.00;0.50;0.16;-0.01;-1.04;-0.02
62;0.00;0.51;0.12;-0.01;-1.04;-0.01
63;0.00;0.37;0.12;-0.01;-1.04;-0.01
64;0.00;0.35;0.12;-0.01;-1.04;-0.02
65;0.00;0.24;0.12;-0.01;-1.04;-0.02
66;0.00;0.28;0.12;-0.01;-1.04;-0.01
67;0.00;0.21;0.12;-0.01;-1.04;-0.01
68;0.00;0.36;0.12;-0.01;-1.04;-0.01
69;0.00;0.58;0.12;-0.01;-1.03;-0.01
70;0.00;0.53;0.12;-0.01;-1.04;-0.01
71;0.00;0.37;0.12;-0.01;-1.04;-0.02
72;0.00;0.26;0.12;-0.01;-1.03;-0.01
73;0.00;0.31;0.12;-0.01;-1.05;-0.01
74;0.00;0.37;0.12;-0.01;-1.04;-0.01
75;0.00;0.38;0.12;-0.01;-1.03;-0.01
76;0.00;0.29;0.12;-0.01;-1.04;-0.01
77;0.00;0.41;0.12;-0.01;-1.04;-0.02
78;0.00;0.38;0.12;-0.00;-1.03;-0.01
79;40.00;0.41;0.32;0.06;-0.99;0.16
80;45.00;2.12;1.38;-0.05;-0.83;-0.05
81;50.00;17.62;2.44;-0.33;-1.24;-0.10
82;55.00;75.20;3.25;-0.46;-1.45;0.09
83;60.00;146.46;3.33;-0.21;-0.93;-0.11
84;65.00;185.40;3.86;-0.59;-1.39;-0.08
85;70.00;210.82;4.51;-0.99;-0.71;-0.03
86;75.00;235.05;5.28;0.76;-1.19;-0.07
87;80.00;265.26;6.10;-0.60;-1.61;0.04
88;85.00;296.74;7.24;1.24;-1.00;-0.09
89;90.00;327.78;8.38;1.45;-0.83;-0.12
90;95.00;360.67;8.87;1.29;-1.47;-0.02
91;100.00;386.94;8.87;-0.06;-1.32;0.04
92;105.00;396.08;8.87;-0.91;-1.19;-0.03
93;110.00;396.92;9.07;-1.54;-1.18;0.02
94;115.00;396.60;9.27;-0.60;-0.59;-0.06
95;120.00;396.86;9.07;0.42;-0.65;0.00
96;125.00;396.41;8.70;1.57;-0.68;0.02
97;130.00;396.64;8.66;1.41;-1.24;-0.11
98;135.00;397.08;8.42;0.27;-1.42;-0.10
99;140.00;397.44;8.62;-0.45;-1.33;0.17
100;140.00;396.91;8.62;-1.44;-0.96;0.07
101;135.00;396.44;9.15;-1.45;-0.69;-0.10
102;130.00;396.08;9.19;-0.08;-0.56;-0.10
103;125.00;395.04;8.82;0.69;-0.71;0.02
104;120.00;393.64;8.58;1.44;-1.07;0.06
105;115.00;394.31;8.74;1.38;-1.35;-0.04
106;110.00;394.98;9.19;0.69;-1.42;-0.16
107;105.00;394.63;9.48;-0.14;-0.97;0.00
108;100.00;394.53;9.27;-1.24;-0.71;0.10
109;95.00;394.28;8.78;-1.59;-0.88;-0.01
110;90.00;394.40;8.62;-0.62;-0.80;-0.09
111;85.00;395.15;8.05;-1.53;-1.01;0.03
112;80.00;388.96;7.60;1.21;-0.66;-0.11
113;75.00;362.09;6.51;0.81;-1.41;-0.04
114;70.00;325.36;5.49;-0.40;-0.62;0.06
115;65.00;293.12;4.72;-0.22;-0.44;0.04
116;60.00;263.39;3.86;-0.29;-1.50;-0.02
117;55.00;233.62;3.37;-0.64;-1.43;0.03
118;50.00;207.03;2.68;0.27;-0.62;-0.02
119;45.00;183.20;2.19;0.00;-0.96;-0.01
120;40.00;159.16;1.66;0.25;-0.93;-0.04
121;0.00;137.13;1.01;-0.07;-1.08;-0.00
122;0.00;111.39;0.44;0.12;-1.03;-0.05
123;0.00;73.13;0.12;-0.06;-1.05;-0.03
124;0.00;44.38;0.12;0.05;-1.02;-0.03
125;0.00;29.39;0.12;-0.18;-1.05;-0.21
126;0.00;20.61;0.12;-0.05;-1.03;-0.08
127;0.00;13.07;0.12;-0.07;-1.05;0.06
128;0.00;10.56;0.12;0.04;-1.03;0.04
129;0.00;8.30;0.12;-0.04;-1.05;-0.04
130;0.00;6.79;0.12;-0.03;-1.05;-0.07
131;0.00;5.46;0.12;0.00;-1.02;-0.02
132;0.00;4.49;0.12;-0.01;-1.05;0.02
133;0.00;3.37;0.12;-0.02;-1.04;-0.00
134;0.00;2.58;0.12;-0.01;-1.04;-0.08
135;0.00;2.31;0.12;-0.00;-1.04;-0.08
136;0.00;2.05;0.12;-0.01;-1.04;-0.02
137;0.00;1.94;0.12;-0.01;-1.04;0.02
138;0.00;1.80;0.12;-0.01;-1.03;0.02
139;0.00;1.54;0.12;-0.00;-1.04;0.00
140;0.00;1.53;0.12;-0.01;-1.03;-0.02
141;0.00;1.48;0.12;-0.01;-1.04;-0.03
142;0.00;1.50;0.12;-0.01;-1.04;-0.02
143;0.00;1.44;0.12;-0.01;-1.03;-0.02
144;0.00;1.31;0.12;-0.01;-1.04;-0.02
145;0.00;1.22;0.12;-0.00;-1.04;-0.02
146;0.00;1.26;0.12;-0.01;-1.04;-0.02
147;0.00;1.39;0.12;-0.02;-1.04;-0.02
148;0.00;1.41;0.12;-0.01;-1.04;-0.01
149;0.00;1.27;0.12;-0.01;-1.04;-0.02
150;0.00;1.22;0.12;-0.01;-1.04;-0.01
151;0.00;1.22;0.12;-0.01;-1.04;-0.02
