Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;2451712.00;0.47;0.24;0.00;-1.00;0.00
1;0.00;2537840.00;0.25;0.24;0.00;-1.00;0.00
2;0.00;2623984.00;0.24;0.24;0.00;-1.00;0.00
3;0.00;2710124.00;0.43;0.24;0.00;-1.00;0.00
4;0.00;2796240.00;0.70;0.24;-0.00;-1.00;0.00
5;0.00;2882364.00;0.33;0.24;0.00;-0.99;0.00
6;0.00;2968492.00;0.34;0.24;0.00;-1.00;0.00
7;0.00;3054628.00;0.55;0.24;0.00;-0.99;0.00
8;0.00;3140772.00;0.56;0.24;0.00;-1.00;0.00
9;0.00;3226896.00;0.46;0.24;0.00;-0.99;0.00
10;0.00;3313032.00;0.43;0.24;0.00;-1.00;0.00
11;0.00;3399180.00;0.36;0.24;0.00;-1.00;0.00
12;0.00;3485308.00;0.33;0.24;0.00;-1.00;0.00
13;0.00;3571428.00;0.45;0.20;0.01;-0.99;0.00
14;0.00;3657572.00;0.61;0.20;0.00;-1.00;0.00
15;0.00;3743720.00;0.56;0.20;-0.00;-1.00;0.00
16;0.00;3829872.00;0.54;0.24;0.00;-1.00;0.00
17;0.00;3915988.00;0.66;0.24;0.00;-1.00;0.00
18;0.00;4002128.00;0.62;0.24;0.00;-1.00;0.00
19;0.00;4088264.00;0.55;0.24;-0.00;-1.00;0.00
20;0.00;4174384.00;0.42;0.24;0.00;-1.00;0.00
21;0.00;4260508.00;0.53;0.24;-0.00;-1.00;0.00
22;0.00;4346612.00;0.44;0.24;0.00;-0.99;0.00
23;0.00;4432740.00;0.27;0.24;0.00;-1.00;0.00
24;0.00;4518852.00;0.40;0.24;-0.00;-1.00;0.00
25;0.00;4604976.00;0.51;0.24;0.00;-1.00;0.00
26;0.00;4691100.00;0.50;0.24;0.00;-1.00;0.00
27;0.00;4777220.00;0.47;0.24;0.00;-1.00;0.00
28;0.00;4863316.00;0.34;0.24;0.00;-0.99;0.00
29;0.00;4949456.00;0.43;0.24;-0.00;-1.00;0.00
30;0.00;5035560.00;0.47;0.24;0.01;-0.99;0.00
31;0.00;5121688.00;0.46;0.24;-0.00;-1.00;0.00
32;0.00;5207804.00;0.37;0.24;0.00;-1.00;0.00
33;0.00;5293928.00;0.52;0.24;-0.00;-1.00;0.00
34;0.00;5380028.00;0.64;0.24;0.00;-0.99;0.00
35;0.00;5466168.00;0.59;0.24;0.00;-1.00;0.00
36;0.00;5552288.00;0.59;0.24;0.00;-1.00;0.00
37;0.00;5638424.00;0.60;0.24;0.00;-1.00;0.00
38;0.00;5724524.00;0.46;0.24;0.00;-1.00;0.00
39;0.00;5810668.00;0.56;0.24;0.00;-1.00;0.00
40;0.00;5896768.00;0.47;0.20;0.00;-0.99;0.00
41;0.00;5982884.00;0.49;0.20;0.00;-0.99;0.00
42;0.00;6069012.00;0.45;0.20;0.00;-1.00;0.00
43;0.00;6155136.00;0.31;0.24;-0.00;-1.00;0.00
44;0.00;6241240.00;0.23;0.24;0.00;-1.00;0.00
45;0.00;6327364.00;0.37;0.24;0.00;-1.00;0.00
46;0.00;6413492.00;0.41;0.24;0.00;-1.00;0.00
47;0.00;6499604.00;0.41;0.24;0.00;-1.00;0.00
48;0.00;6585720.00;0.32;0.24;0.00;-1.00;0.00
49;0.00;6757944.00;0.46;0.24;0.00;-0.99;0.00
50;0.00;6844076.00;0.69;0.24;0.00;-0.99;0.00
51;0.00;6930224.00;0.54;0.24;-0.00;-1.00;0.00
52;0.00;7016320.00;0.47;0.24;0.00;-0.99;0.01
53;0.00;7102452.00;0.43;0.24;0.00;-1.00;0.00
54;0.00;7188572.00;0.35;0.24;-0.00;-1.00;0.00
55;0.00;7274676.00;0.31;0.24;0.00;-1.00;0.00
56;0.00;7360808.00;0.25;0.24;0.00;-1.00;0.00
57;0.00;7446916.00;0.22;0.24;0.00;-1.00;0.00
58;0.00;7533048.00;0.51;0.24;0.00;-1.00;0.00
59;0.00;7619144.00;0.56;0.24;0.00;-0.99;0.00
60;0.00;7705288.00;0.49;0.24;0.00;-1.00;0.00
61;0.00;7791404.00;0.46;0.24;0.00;-1.00;0.00
62;0.00;7877508.00;0.46;0.24;-0.00;-0.99;0.00
63;0.00;7963624.00;0.50;0.24;0.00;-0.99;0.00
64;0.00;8049756.00;0.38;0.24;0.00;-1.00;0.00
65;0.00;8135864.00;0.21;0.24;0.00;-0.99;0.00
66;0.00;8222008.00;0.23;0.24;0.00;-1.00;0.00
67;0.00;8308120.00;0.52;0.24;0.00;-1.00;0.00
68;0.00;8394240.00;0.33;0.24;0.00;-1.00;0.00
69;0.00;8480364.00;0.25;0.24;0.00;-1.00;0.00
70;0.00;8566468.00;0.50;0.24;0.00;-1.00;0.00
71;0.00;8652608.00;0.56;0.24;0.00;-1.00;0.00
72;0.00;8738732.00;0.31;0.24;0.00;-1.00;0.00
73;0.00;8824856.00;0.32;0.24;0.00;-1.00;0.00
74;0.00;8910988.00;0.49;0.24;-0.00;-1.00;0.00
75;0.00;8997092.00;0.37;0.24;0.00;-1.00;0.00
76;0.00;9083204.00;0.38;0.24;0.00;-0.99;0.00
77;0.00;9169316.00;0.43;0.24;0.00;-1.00;0.00
78;0.00;9255448.00;0.41;0.24;0.00;-1.00;0.00
79;0.00;9341544.00;0.33;0.24;0.00;-0.99;0.00
80;0.00;9427676.00;0.36;0.24;0.00;-1.00;0.00
81;0.00;9513804.00;0.49;0.24;0.00;-1.00;0.00
82;0.00;9599912.00;0.46;0.24;0.00;-1.00;0.00
83;0.00;9686028.00;0.32;0.24;0.00;-1.00;0.00
84;0.00;9772132.00;0.49;0.24;0.00;-0.99;0.00
85;0.00;9858236.00;0.66;0.24;0.00;-1.00;0.00
86;0.00;9944372.00;0.61;0.24;-0.00;-1.00;0.00
87;0.00;10030484.00;0.55;0.24;0.00;-1.00;0.00
88;0.00;10116604.00;0.53;0.24;0.00;-1.00;0.00
89;0.00;10202700.00;0.42;0.24;0.00;-0.99;0.00
90;0.00;10288828.00;0.23;0.24;0.00;-1.00;0.00
91;100.00;10374944.00;0.21;0.48;-0.00;-0.97;0.06
92;0.00;10461072.00;3.02;0.48;0.18;-0.96;0.05
93;100.00;10547212.00;14.94;4.19;-0.54;-1.35;0.12
94;0.00;10633320.00;69.34;3.94;0.25;-0.50;0.09
95;100.00;10719444.00;179.89;7.69;0.21;-1.84;0.02
96;0.00;10805576.00;196.67;3.98;-0.19;-1.51;0.10
97;100.00;10891688.00;274.85;7.89;0.99;-0.54;0.06
98;0.00;10977796.00;282.43;4.15;0.71;-0.47;0.00
99;100.00;11063936.00;356.21;8.09;-1.19;-1.10;0.05
100;0.00;11150060.00;311.59;4.19;0.19;-1.27;0.01
