Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
101;100.00;11236164.00;333.81;7.73;-1.55;-0.83;0.17
102;0.00;11322272.00;268.96;3.78;0.59;-0.89;0.12
103;100.00;11408396.00;312.20;7.44;-0.62;-0.51;0.28
104;0.00;11494520.00;294.43;3.90;-0.63;-1.58;0.15
105;100.00;11580632.00;326.52;7.24;-0.87;-0.85;0.15
106;0.00;11666756.00;266.33;3.58;-0.59;-1.62;0.08
107;100.00;11752840.00;311.06;7.08;0.09;-0.33;0.00
108;0.00;11838968.00;296.22;3.74;0.22;-0.39;0.05
109;100.00;11925096.00;358.98;7.08;-1.14;-1.19;0.25
110;0.00;12011232.00;309.45;3.58;0.39;-0.84;0.02
111;0.00;12097324.00;328.16;3.58;-0.04;-0.97;0.23
112;0.00;12183420.00;206.56;0.20;0.08;-0.90;0.10
113;0.00;12269556.00;99.30;0.20;-0.10;-1.01;0.08
114;0.00;12355652.00;54.92;0.20;-0.09;-0.99;0.07
115;0.00;12441784.00;33.62;0.24;0.04;-1.02;0.07
116;0.00;12527896.00;21.87;0.24;-0.19;-1.02;0.05
117;0.00;12614012.00;14.70;0.24;-0.17;-1.03;0.05
118;0.00;12700144.00;10.20;0.24;-0.02;-1.00;0.04
119;0.00;12786268.00;6.97;0.24;0.01;-1.00;0.01
120;0.00;12872376.00;4.89;0.24;0.02;-0.99;0.02
121;0.00;12958500.00;3.55;0.24;0.00;-0.99;0.01
122;0.00;13044624.00;2.73;0.24;-0.01;-1.00;0.01
123;0.00;13130728.00;1.86;0.24;0.00;-1.00;0.00
124;0.00;13216844.00;1.31;0.24;-0.00;-0.99;0.03
125;0.00;13302956.00;0.82;0.24;0.00;-1.00;0.00
126;0.00;13389076.00;0.68;0.24;0.00;-1.00;0.00
127;0.00;13475204.00;0.41;0.24;-0.00;-1.00;0.01
128;0.00;13561328.00;0.13;0.24;-0.00;-1.00;0.01
129;0.00;13647448.00;0.02;0.24;-0.00;-1.00;0.02
130;0.00;13733556.00;0.09;0.24;0.00;-0.99;0.01
131;0.00;13819680.00;0.07;0.24;0.00;-0.99;0.03
132;0.00;13905812.00;0.11;0.24;0.00;-1.00;0.00
133;0.00;13991932.00;0.49;0.24;0.00;-0.99;0.00
134;0.00;14078052.00;0.45;0.24;0.00;-1.00;0.00
135;0.00;14164164.00;0.43;0.24;0.00;-0.99;0.00
136;0.00;14250292.00;0.22;0.24;0.00;-1.00;0.01
137;0.00;14336392.00;0.20;0.24;0.00;-0.99;0.00
138;100.00;14422524.00;0.39;0.48;-0.04;-1.02;0.16
139;0.00;14508656.00;1.29;0.48;-0.05;-1.02;0.14
140;100.00;14594760.00;6.19;6.99;0.71;-0.63;0.13
141;0.00;14680884.00;42.88;6.75;-0.40;-1.30;0.20
142;100.00;14766988.00;182.06;10.66;-0.55;-0.65;0.24
143;0.00;14853132.00;249.37;4.15;-0.46;-1.05;0.03
144;100.00;14939228.00;307.14;7.77;0.92;-0.95;0.22
145;0.00;15025344.00;258.67;3.86;-0.18;-0.62;0.31
146;100.00;15111484.00;308.96;7.81;0.07;-1.46;0.48
147;0.00;15197588.00;295.36;4.19;0.03;-1.46;0.13
148;100.00;15283704.00;359.35;8.13;0.61;-0.69;0.05
149;0.00;15369836.00;310.10;4.19;-0.65;-1.54;0.14
150;100.00;15455936.00;329.62;7.32;0.85;-0.64;0.34
151;0.00;15542076.00;265.95;3.37;-0.60;-1.53;0.14
152;100.00;15628188.00;310.67;7.12;1.39;-0.93;0.40
153;0.00;15714308.00;293.50;3.94;0.43;-0.35;0.03
154;100.00;15800432.00;324.57;7.73;0.77;-1.29;0.07
155;0.00;15886544.00;265.02;3.98;0.19;-0.45;0.22
156;100.00;15972676.00;312.08;7.24;-0.18;-1.30;0.31
157;0.00;16058780.00;296.63;3.45;-0.23;-1.47;0.08
158;0.00;16144912.00;356.74;3.45;-0.22;-1.00;0.04
159;0.00;16231036.00;237.76;0.24;-0.05;-1.11;0.03
160;0.00;16317128.00;112.21;0.24;0.06;-0.99;0.00
161;0.00;16403248.00;60.99;0.24;-0.04;-0.95;0.01
