Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
109;0.00;13291804.00;0.36;0.24;-0.00;-1.04;0.00
110;0.00;13377904.00;0.34;0.20;-0.00;-1.04;0.00
111;0.00;13464036.00;0.29;0.20;-0.00;-1.04;0.00
112;0.00;13550152.00;0.27;0.20;0.00;-1.03;0.00
113;0.00;13636272.00;0.25;0.24;-0.00;-1.04;0.00
114;0.00;13722392.00;0.23;0.24;-0.00;-1.04;0.00
115;0.00;13808504.00;0.30;0.24;0.00;-1.03;0.00
116;0.00;13894616.00;0.31;0.24;-0.00;-1.04;0.00
117;0.00;13980740.00;0.46;0.24;-0.00;-1.04;0.00
118;0.00;14066836.00;0.43;0.24;-0.00;-1.04;0.00
119;0.00;14152948.00;0.39;0.24;-0.00;-1.04;0.00
120;0.00;14239060.00;0.32;0.24;-0.00;-1.05;0.00
121;0.00;14325160.00;0.42;0.24;-0.00;-1.04;0.00
122;0.00;14411276.00;0.41;0.24;-0.00;-1.04;0.00
123;0.00;14497396.00;0.28;0.24;-0.00;-1.04;0.00
124;0.00;14583504.00;0.43;0.24;-0.01;-1.05;0.00
125;0.00;14669624.00;0.43;0.24;-0.00;-1.04;0.00
126;0.00;14755740.00;0.38;0.24;-0.00;-1.04;0.00
127;0.00;14841872.00;0.30;0.24;-0.01;-1.04;0.00
128;0.00;14927972.00;0.36;0.24;-0.00;-1.04;0.00
