Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des μC in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
80;45.00;1091.00;2.58;1.54;-0.06;-0.86;0.03
81;50.00;1177.00;20.53;2.44;-0.43;-1.33;-0.16
82;55.00;1263.00;81.31;3.09;-0.35;-1.47;-0.05
83;60.00;1349.00;150.08;3.09;-0.65;-0.46;-0.12
84;65.00;1435.00;188.45;3.74;-0.27;-1.49;-0.05
85;70.00;1521.00;214.86;4.59;-1.17;-0.77;-0.04
86;75.00;1607.00;242.49;5.45;0.80;-1.42;-0.04
87;80.00;1693.00;275.31;6.46;-0.14;-1.47;-0.00
88;85.00;1780.00;306.54;7.48;1.15;-0.96;-0.10
89;90.00;1866.00;336.96;8.34;1.51;-1.05;-0.19
90;95.00;1952.00;372.10;8.82;1.01;-1.30;-0.07
91;100.00;2038.00;402.13;8.99;0.44;-1.22;0.10
92;105.00;2124.00;411.21;9.15;-0.49;-1.44;0.04
93;110.00;2210.00;412.01;8.99;-1.33;-1.39;-0.05
94;115.00;2296.00;412.09;8.95;-1.35;-0.83;-0.03
95;120.00;2382.00;411.46;8.66;-0.67;-0.99;-0.02
96;125.00;2468.00;411.23;8.70;0.47;-0.42;0.01
97;130.00;2554.00;409.85;8.91;1.08;-0.49;0.06
98;135.00;2641.00;408.51;8.82;1.64;-1.23;-0.04
99;140.00;2727.00;408.29;8.74;1.18;-1.23;-0.23
100;140.00;2813.00;407.56;8.62;0.41;-1.25;-0.16
101;135.00;2899.00;407.01;8.91;-0.47;-1.21;0.11
102;130.00;2985.00;406.41;9.07;-1.15;-1.26;0.17
103;125.00;3072.00;406.38;8.95;-1.46;-1.22;-0.02
104;120.00;3158.00;406.71;8.70;-1.52;-1.04;-0.12
105;115.00;3244.00;406.50;8.42;-0.85;-0.83;-0.16
106;110.00;3330.00;404.69;8.34;0.10;-0.38;-0.03
107;105.00;3416.00;404.26;8.70;0.99;-0.52;0.13
108;100.00;3502.00;406.68;9.07;1.41;-1.00;-0.04
109;95.00;3589.00;407.85;9.11;1.44;-1.23;-0.10
110;90.00;3675.00;405.57;8.78;0.93;-1.35;-0.11
111;85.00;3761.00;407.17;8.17;1.51;-0.91;0.00
112;80.00;3847.00;400.50;7.60;-1.22;-1.19;-0.01
113;75.00;3933.00;370.64;6.42;-0.72;-0.76;0.04
114;70.00;4019.00;337.97;5.37;0.92;-1.39;-0.03
115;65.00;9.00;305.26;4.27;0.21;-1.73;-0.00
116;60.00;95.00;271.03;3.82;0.37;-0.61;-0.04
117;55.00;181.00;237.29;3.41;0.27;-0.79;0.00
118;50.00;267.00;210.83;3.05;-0.16;-0.79;-0.11
119;45.00;354.00;186.64;2.48;0.39;-0.95;-0.12
120;40.00;440.00;161.70;1.91;-0.33;-1.19;0.01
121;0.00;526.00;138.42;1.13;0.15;-1.04;-0.10
122;0.00;612.00;110.62;0.56;0.10;-1.01;-0.04
123;0.00;698.00;71.30;0.12;-0.09;-1.03;0.00
124;0.00;784.00;42.23;0.12;-0.08;-1.07;-0.04
125;0.00;870.00;26.76;0.12;-0.04;-1.06;0.02
126;0.00;956.00;17.90;0.12;-0.02;-1.03;-0.05
127;0.00;1042.00;11.95;0.12;-0.11;-1.04;-0.00
128;0.00;1129.00;8.42;0.12;-0.01;-1.05;-0.00
129;0.00;1215.00;5.98;0.12;0.03;-1.03;-0.04
130;0.00;1301.00;4.45;0.12;-0.02;-1.04;-0.04
131;0.00;1387.00;3.09;0.12;-0.04;-1.04;-0.01
132;0.00;1473.00;2.08;0.12;-0.01;-1.03;-0.00
133;0.00;1559.00;1.50;0.12;-0.00;-1.03;-0.02
134;0.00;1645.00;0.90;0.12;0.00;-1.04;0.04
135;0.00;1731.00;0.50;0.12;-0.00;-1.04;0.02
136;0.00;1817.00;0.30;0.12;-0.01;-1.05;-0.02
137;0.00;1904.00;0.05;0.12;-0.00;-1.04;-0.04
138;0.00;1990.00;-0.04;0.12;-0.01;-1.04;-0.06
139;0.00;2076.00;-0.04;0.12;-0.01;-1.04;-0.01
140;0.00;2162.00;-0.10;0.16;-0.01;-1.04;0.01
141;0.00;2248.00;-0.17;0.16;-0.00;-1.04;0.00
142;0.00;2334.00;-0.25;0.16;-0.01;-1.04;-0.01
143;0.00;2420.00;-0.29;0.12;-0.01;-1.05;-0.03
144;0.00;2506.00;-0.33;0.12;-0.01;-1.04;-0.03
