Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des μC in ms;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;0.00;2394.00;0.38;0.12;-0.00;-1.04;-0.01
1;0.00;2480.00;0.46;0.12;-0.01;-1.04;-0.01
2;0.00;2567.00;0.58;0.12;-0.00;-1.04;-0.01
3;0.00;2653.00;0.34;0.12;-0.01;-1.05;-0.02
4;0.00;2739.00;0.30;0.12;-0.00;-1.04;-0.01
5;0.00;2825.00;0.41;0.12;-0.01;-1.04;-0.01
6;0.00;2911.00;0.32;0.12;-0.01;-1.04;-0.01
7;0.00;2997.00;0.30;0.12;-0.01;-1.04;-0.01
8;0.00;3083.00;0.42;0.12;-0.01;-1.04;-0.01
9;0.00;3169.00;0.39;0.12;-0.01;-1.04;-0.01
10;0.00;3255.00;0.58;0.12;-0.01;-1.04;-0.01
11;0.00;3341.00;0.53;0.12;-0.02;-1.04;-0.02
12;0.00;3427.00;0.27;0.12;-0.01;-1.04;-0.02
13;0.00;3514.00;0.25;0.12;-0.01;-1.03;-0.01
14;0.00;3600.00;0.33;0.12;-0.01;-1.04;-0.01
15;0.00;3686.00;0.46;0.12;-0.01;-1.05;-0.01
16;0.00;3772.00;0.41;0.12;-0.01;-1.04;-0.02
17;0.00;3858.00;0.36;0.12;-0.01;-1.04;-0.01
18;0.00;3944.00;0.24;0.12;-0.01;-1.04;-0.01
19;0.00;4030.00;0.47;0.12;-0.00;-1.04;-0.01
20;0.00;20.00;0.44;0.12;-0.01;-1.04;-0.01
21;0.00;106.00;0.59;0.12;-0.01;-1.04;-0.02
22;0.00;192.00;0.33;0.12;-0.01;-1.04;-0.00
23;0.00;279.00;0.24;0.12;-0.01;-1.04;-0.01
24;0.00;365.00;0.59;0.12;-0.01;-1.04;-0.02
25;0.00;451.00;0.67;0.12;-0.01;-1.05;-0.01
26;0.00;537.00;0.29;0.12;-0.01;-1.04;-0.01
27;0.00;623.00;0.36;0.12;-0.01;-1.04;-0.01
28;0.00;709.00;0.33;0.12;-0.01;-1.04;-0.01
29;0.00;795.00;0.12;0.12;-0.00;-1.04;-0.01
30;0.00;881.00;0.17;0.12;-0.01;-1.04;-0.01
31;0.00;967.00;0.19;0.12;-0.01;-1.03;-0.01
32;0.00;1053.00;0.37;0.12;-0.01;-1.04;-0.02
33;0.00;1139.00;0.71;0.12;-0.01;-1.04;-0.01
34;0.00;1226.00;0.50;0.12;-0.00;-1.04;-0.01
35;0.00;1312.00;0.43;0.16;-0.01;-1.04;-0.01
36;0.00;1398.00;0.40;0.16;-0.01;-1.05;-0.01
37;0.00;1484.00;0.49;0.16;-0.01;-1.04;-0.01
38;0.00;1570.00;0.38;0.12;-0.01;-1.04;-0.01
39;0.00;1656.00;0.32;0.12;-0.00;-1.04;-0.02
40;0.00;1742.00;0.37;0.12;-0.01;-1.04;-0.01
41;0.00;1828.00;0.36;0.12;-0.01;-1.04;-0.01
42;0.00;1914.00;0.23;0.12;-0.01;-1.04;-0.02
43;0.00;2000.00;0.18;0.12;-0.00;-1.04;-0.01
44;0.00;2086.00;0.43;0.12;-0.01;-1.04;-0.01
45;0.00;2173.00;0.52;0.12;-0.01;-1.05;-0.01
46;0.00;2259.00;0.37;0.12;-0.01;-1.04;-0.01
47;0.00;2345.00;0.34;0.12;-0.01;-1.04;-0.01
48;0.00;2432.00;0.31;0.12;-0.01;-1.05;-0.01
49;0.00;2518.00;0.49;0.12;-0.01;-1.04;-0.01
50;0.00;2604.00;0.50;0.12;-0.00;-1.04;-0.01
51;0.00;2690.00;0.32;0.12;-0.02;-1.04;-0.01
52;0.00;2776.00;0.43;0.12;-0.01;-1.04;-0.01
53;0.00;2862.00;0.39;0.12;-0.01;-1.04;-0.01
54;0.00;2948.00;0.44;0.12;-0.01;-1.05;-0.01
55;0.00;3034.00;0.51;0.12;-0.01;-1.04;-0.01
56;0.00;3121.00;0.48;0.12;-0.01;-1.04;-0.01
57;0.00;3207.00;0.48;0.12;-0.01;-1.04;-0.02
58;0.00;3293.00;0.51;0.12;-0.00;-1.04;-0.01
59;0.00;3379.00;0.48;0.12;-0.01;-1.05;-0.02
60;0.00;3465.00;0.48;0.12;-0.01;-1.04;-0.02
61;0.00;3551.00;0.32;0.12;-0.01;-1.04;-0.01
62;0.00;3637.00;0.17;0.12;-0.01;-1.04;-0.01
63;0.00;3723.00;0.12;0.12;-0.01;-1.04;-0.01
64;0.00;3809.00;0.21;0.12;-0.02;-1.04;-0.02
65;0.00;3895.00;0.21;0.12;-0.01;-1.04;-0.01
66;0.00;3981.00;0.32;0.12;-0.01;-1.04;-0.02
67;0.00;4068.00;0.38;0.12;-0.01;-1.04;-0.01
68;0.00;58.00;0.59;0.12;-0.01;-1.04;-0.01
69;0.00;144.00;0.46;0.12;-0.01;-1.04;-0.01
70;0.00;230.00;0.31;0.12;-0.00;-1.04;-0.01
71;0.00;316.00;0.29;0.12;-0.01;-1.04;-0.01
72;0.00;402.00;0.32;0.12;-0.01;-1.04;-0.01
73;0.00;488.00;0.32;0.12;-0.01;-1.04;-0.01
74;0.00;574.00;0.23;0.12;-0.01;-1.04;-0.03
75;0.00;660.00;0.47;0.12;-0.01;-1.04;-0.01
76;0.00;746.00;0.43;0.12;-0.01;-1.04;-0.01
77;0.00;833.00;0.45;0.12;-0.01;-1.04;-0.02
78;0.00;919.00;0.47;0.12;-0.00;-1.04;-0.01
79;40.00;1005.00;0.37;0.36;-0.01;-0.92;-0.02
