Messwert-Nr.;ESC-Werte;Laufzeit seit Systemstart des MikroControllers in microsekunden;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
105;100;17869068.00;473;10.09;-0.12;0.14;0.18
106;100;17955164.00;473;9.80;0.36;-0.98;0.37
107;100;18041292.00;475;9.84;-0.74;-0.02;0.41
108;100;18127420.00;479;9.84;1.03;-0.80;0.30
109;100;18213536.00;479;10.33;-1.08;-0.18;0.10
110;100;18299660.00;480;10.41;1.43;-0.90;0.28
111;100;18385784.00;480;10.25;-1.22;-0.76;0.34
112;100;18471892.00;478;9.84;1.50;-0.75;0.10
113;100;18558036.00;478;10.05;-1.50;-1.02;0.34
114;100;18644136.00;481;9.92;1.49;-0.80;0.17
115;100;18730260.00;480;9.76;-1.47;-1.28;0.39
116;100;18816364.00;476;9.31;1.50;-0.70;0.25
117;100;18902500.00;479;9.31;-1.25;-1.09;0.29
118;100;18988596.00;478;9.72;0.99;-0.58;0.38
119;100;19074740.00;475;9.92;-0.65;-1.27;0.21
120;100;19160844.00;474;10.05;0.61;-0.11;0.25
121;100;19246968.00;471;9.88;-0.06;-1.38;0.01
122;100;19333068.00;469;9.76;0.02;-0.54;0.02
123;100;19419192.00;469;9.76;0.59;-0.95;0.20
124;100;19505308.00;472;9.68;-0.88;-0.48;0.27
125;100;19591436.00;475;9.56;0.90;-0.68;0.29
126;100;19677560.00;475;9.31;-1.11;-0.55;0.09
127;100;19763644.00;475;9.64;0.95;-0.81;0.24
128;100;19849776.00;474;10.00;-1.25;-0.71;0.07
129;100;19935888.00;474;10.21;1.52;-0.62;0.07
130;100;20022004.00;473;9.84;-1.53;-0.93;0.16
131;100;20108112.00;472;9.92;1.57;-0.69;0.05
132;100;20194224.00;474;9.92;-1.48;-0.84;0.26
133;100;20280344.00;474;9.96;1.60;-0.67;0.00
134;100;20366472.00;473;10.00;-1.47;-1.04;0.20
135;100;20452568.00;471;10.29;1.43;-0.38;0.01
136;100;20624800.00;468;10.09;1.22;-0.35;0.08
137;100;20710936.00;469;9.60;-1.08;-1.27;0.22
138;100;20797028.00;471;9.48;0.85;-0.51;0.28
139;100;20883156.00;471;9.39;-0.99;-1.31;0.01
140;100;20969272.00;473;9.88;1.07;-0.45;0.29
141;100;21055416.00;474;10.00;-1.15;-1.13;0.14
142;100;21141492.00;473;10.21;1.20;-0.51;0.09
143;100;21227616.00;471;10.00;-1.06;-1.22;0.14
144;100;21313712.00;470;9.64;0.52;-0.35;0.22
145;100;21399832.00;468;9.39;-0.75;-1.03;0.02
146;100;21485928.00;466;9.03;0.24;-0.41;0.05
147;100;21572052.00;465;9.39;-0.34;-0.96;0.24
148;100;21658164.00;469;9.52;-0.00;0.05;0.11
149;100;21744284.00;472;9.88;-0.23;-1.25;0.42
150;100;21830392.00;472;9.84;0.06;-0.40;0.12
151;100;21916520.00;471;10.25;-0.20;-1.21;0.26
152;100;22002628.00;471;10.41;0.07;-0.20;0.08
153;100;22088728.00;473;9.96;-0.28;-0.91;0.44
154;100;22174844.00;474;9.76;0.36;-0.33;0.17
155;100;22260964.00;474;9.72;-0.62;-1.21;0.28
156;100;22347072.00;473;9.92;0.74;-0.10;0.17
157;100;22433180.00;473;9.92;-0.86;-1.45;0.08
158;100;22519304.00;474;9.88;1.00;-0.37;0.34
159;100;22605432.00;475;10.13;-1.18;-1.23;0.12
160;100;22691536.00;476;10.37;1.08;-0.71;0.53
161;100;22777676.00;477;10.37;-1.43;-1.36;0.38
162;100;22863784.00;476;10.13;1.27;-0.79;0.31
163;100;22949908.00;474;9.88;-1.51;-0.96;0.23
164;100;23036024.00;473;9.84;1.42;-0.73;0.08
