Messwert-Nr.;ESC-Werte;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
0;-1.00;0.54;-0.00;-0.00;-1.04;-0.01
1;-1.00;0.53;-0.00;-0.00;-1.04;-0.01
2;0.00;0.51;-0.01;-0.00;-1.04;-0.01
3;0.00;0.46;-0.01;-0.01;-1.04;-0.01
4;0.00;0.41;-0.02;-0.01;-1.04;-0.01
5;0.00;0.27;-0.02;-0.00;-1.04;-0.02
6;0.00;0.07;-0.02;-0.00;-1.04;-0.01
7;0.00;0.22;-0.03;-0.00;-1.04;-0.01
8;0.00;0.36;-0.03;-0.00;-1.04;-0.01
9;0.00;0.40;-0.04;-0.00;-1.04;-0.01
10;0.00;0.36;-0.04;-0.00;-1.03;-0.00
11;0.00;0.44;-0.04;-0.00;-1.04;-0.01
12;0.00;0.49;-0.05;-0.01;-1.03;-0.01
13;0.00;0.50;-0.05;-0.01;-1.04;-0.01
14;0.00;0.53;-0.06;-0.00;-1.04;-0.01
15;0.00;0.69;-0.06;-0.01;-1.04;-0.01
16;0.00;0.53;-0.06;-0.01;-1.04;-0.01
17;0.00;0.44;-0.07;-0.00;-1.04;-0.01
18;0.00;0.37;-0.07;-0.00;-1.04;-0.01
19;0.00;0.41;-0.07;-0.00;-1.04;-0.01
20;0.00;0.52;-0.08;-0.00;-1.04;-0.01
21;0.00;0.48;-0.08;-0.00;-1.04;-0.01
22;0.00;0.53;-0.09;-0.00;-1.04;-0.01
23;0.00;0.59;-0.09;-0.00;-1.04;-0.01
24;0.00;0.63;-0.09;-0.00;-1.04;-0.00
25;0.00;0.46;-0.10;-0.00;-1.04;-0.01
26;0.00;0.23;-0.10;-0.00;-1.04;-0.01
27;0.00;0.29;-0.11;-0.00;-1.04;-0.01
28;0.00;0.49;-0.11;-0.00;-1.04;-0.01
29;0.00;0.59;-0.11;-0.00;-1.04;-0.01
30;0.00;0.51;-0.11;-0.00;-1.04;-0.01
31;0.00;0.43;-0.11;-0.00;-1.04;-0.01
32;0.00;0.36;-0.11;-0.00;-1.03;-0.01
33;0.00;0.58;-0.11;-0.00;-1.04;-0.01
34;0.00;0.62;-0.11;-0.00;-1.04;-0.01
