Messwert-Nr.;ESC-Werte;Gewicht in g;Strom in A;Beschleunigung X-Richtung in g;Beschleunigung Y-Richtung in g;Beschleunigung Z-Richtung in g
35;0.00;0.47;-0.11;-0.00;-1.04;-0.01
36;0.00;0.49;-0.11;-0.00;-1.04;-0.01
37;0.00;0.47;-0.11;-0.00;-1.05;-0.01
38;0.00;0.31;-0.11;-0.00;-1.04;-0.01
39;0.00;0.19;-0.11;-0.00;-1.04;-0.01
40;0.00;0.38;-0.11;-0.00;-1.03;-0.01
41;0.00;0.43;-0.11;-0.01;-1.04;-0.01
42;0.00;0.49;-0.11;-0.00;-1.04;-0.01
43;0.00;0.43;-0.11;-0.00;-1.03;-0.00
44;0.00;0.45;-0.11;-0.00;-1.04;-0.01
45;0.00;0.38;-0.11;-0.00;-1.04;-0.01
46;0.00;0.20;-0.11;-0.00;-1.04;-0.01
47;0.00;0.47;-0.11;-0.01;-1.04;-0.01
48;0.00;0.73;-0.11;-0.00;-1.04;-0.01
49;0.00;0.65;-0.11;-0.00;-1.04;-0.01
50;0.00;0.28;-0.11;-0.00;-1.04;-0.00
51;1.00;0.27;-0.11;-0.00;-1.03;-0.01
52;2.00;0.36;-0.11;-0.01;-1.04;-0.01
53;3.00;0.40;-0.11;-0.00;-1.04;-0.01
54;4.00;0.36;-0.11;-0.00;-1.04;-0.01
55;5.00;0.56;-0.11;-0.00;-1.04;-0.01
56;6.00;0.49;-0.11;-0.00;-1.04;-0.01
57;7.00;0.37;-0.11;-0.00;-1.04;-0.01
58;8.00;0.53;-0.11;-0.01;-1.03;-0.00
59;9.00;0.47;-0.11;-0.00;-1.04;-0.01
60;10.00;0.40;-0.11;-0.00;-1.04;-0.01
61;11.00;0.45;-0.11;-0.00;-1.04;-0.01
62;12.00;0.42;-0.11;-0.01;-1.04;-0.00
63;13.00;0.29;-0.11;-0.00;-1.04;-0.01
64;14.00;0.54;-0.11;-0.00;-1.04;-0.01
65;15.00;0.36;-0.11;-0.00;-1.04;-0.02
66;16.00;0.32;-0.11;-0.00;-1.04;-0.01
67;17.00;0.52;-0.11;-0.00;-1.03;-0.01
68;18.00;0.35;-0.11;-0.00;-1.04;-0.01
69;19.00;0.45;-0.11;0.00;-1.03;-0.01
70;20.00;0.38;-0.11;-0.00;-1.04;-0.01
71;21.00;0.27;-0.11;-0.00;-1.04;-0.01
72;22.00;0.49;-0.11;-0.00;-1.04;-0.01
73;23.00;0.42;-0.11;-0.00;-1.03;-0.01
74;24.00;0.40;-0.11;-0.00;-1.04;-0.00
75;25.00;0.49;-0.11;-0.00;-1.04;-0.00
76;26.00;0.47;-0.11;-0.00;-1.04;-0.01
77;27.00;0.36;-0.11;-0.00;-1.04;-0.01
78;28.00;0.31;-0.11;-0.00;-1.04;-0.01
79;29.00;0.44;-0.11;-0.00;-1.03;-0.00
80;30.00;0.45;-0.11;-0.00;-1.03;-0.01
81;31.00;0.31;-0.11;-0.00;-1.04;-0.01
82;32.00;0.26;-0.11;-0.00;-1.04;-0.01
83;33.00;0.38;-0.11;-0.00;-1.05;-0.01
84;34.00;0.36;-0.11;-0.00;-1.04;-0.01
85;35.00;0.28;-0.11;-0.00;-1.04;-0.01
86;36.00;0.48;-0.11;-0.00;-1.04;-0.01
87;37.00;0.54;-0.11;-0.00;-1.04;-0.01
88;38.00;0.32;-0.11;-0.00;-1.04;-0.00
89;39.00;0.27;-0.11;-0.00;-1.04;-0.01
90;40.00;0.43;-0.11;-0.00;-1.04;-0.01
91;41.00;0.39;-0.11;-0.00;-1.04;-0.01
92;42.00;0.34;-0.11;-0.00;-1.04;-0.01
93;43.00;0.47;-0.11;-0.00;-1.04;-0.01
94;44.00;0.48;-0.11;-0.00;-1.04;-0.01
95;45.00;0.49;-0.11;-0.00;-1.03;-0.00
96;46.00;0.51;-0.11;-0.00;-1.03;-0.01
97;47.00;0.54;-0.11;-0.00;-1.04;-0.01
98;48.00;0.60;-0.11;-0.00;-1.04;-0.00
99;49.00;0.38;-0.11;-0.00;-1.04;-0.02
100;50.00;0.26;-0.11;-0.01;-1.04;-0.01
101;51.00;0.38;-0.11;-0.00;-1.04;-0.01
102;52.00;0.42;-0.11;-0.00;-1.04;-0.01
103;53.00;0.30;-0.11;-0.00;-1.04;-0.01
104;54.00;0.40;-0.11;-0.00;-1.04;-0.02
105;55.00;0.47;-0.11;-0.00;-1.04;-0.01
106;56.00;0.59;-0.11;-0.00;-1.04;-0.00
107;57.00;0.53;-0.11;-0.00;-1.04;-0.00
108;58.00;0.52;-0.11;0.00;-1.04;-0.01
109;59.00;0.63;-0.11;-0.00;-1.04;-0.01
110;60.00;0.49;-0.11;-0.00;-1.03;-0.01
111;61.00;0.17;-0.11;-0.01;-1.04;-0.01
112;62.00;0.26;-0.11;-0.00;-1.03;-0.01
113;63.00;0.34;-0.11;-0.00;-1.04;-0.01
114;64.00;0.44;-0.11;-0.00;-1.03;-0.01
115;65.00;0.38;-0.11;-0.00;-1.03;-0.00
116;66.00;0.53;-0.11;-0.00;-1.04;-0.01
117;67.00;0.38;-0.11;-0.00;-1.04;-0.01
118;68.00;0.27;-0.11;-0.00;-1.04;-0.01
119;69.00;0.19;-0.11;-0.00;-1.04;-0.01
120;70.00;0.34;-0.11;-0.00;-1.04;-0.01
121;71.00;0.38;-0.11;-0.00;-1.03;-0.01
122;72.00;0.25;-0.11;-0.00;-1.03;-0.01
123;73.00;0.42;-0.11;-0.00;-1.04;-0.01
124;74.00;0.52;-0.11;-0.00;-1.04;-0.01
125;75.00;0.44;-0.11;-0.00;-1.04;-0.01
126;76.00;0.17;-0.11;-0.00;-1.04;-0.01
127;77.00;0.41;-0.11;-0.00;-1.03;-0.01
128;78.00;0.43;-0.11;-0.00;-1.03;-0.00
129;79.00;0.32;-0.11;-0.00;-1.04;-0.01
130;80.00;0.32;-0.11;0.00;-1.03;-0.01
131;81.00;0.44;-0.11;-0.00;-1.04;-0.02
132;82.00;0.48;-0.11;-0.00;-1.04;-0.02
133;83.00;0.49;-0.11;-0.00;-1.04;-0.01
134;84.00;0.36;-0.11;-0.00;-1.03;-0.01
135;85.00;0.46;-0.11;-0.00;-1.04;-0.01
136;86.00;0.42;-0.11;-0.00;-1.04;-0.01
137;87.00;0.51;-0.11;-0.00;-1.03;-0.01
138;88.00;0.38;-0.11;-0.00;-1.04;-0.01
139;89.00;0.67;-0.11;-0.00;-1.04;-0.01
140;90.00;0.76;-0.11;-0.00;-1.04;-0.01
141;91.00;0.42;-0.11;-0.00;-1.04;-0.01
142;92.00;0.37;-0.11;-0.01;-1.04;-0.02
143;93.00;0.67;-0.11;-0.00;-1.04;-0.01
144;94.00;0.58;-0.11;-0.00;-1.04;-0.01
145;95.00;0.34;-0.11;-0.00;-1.04;-0.01
146;96.00;0.47;-0.11;-0.00;-1.04;-0.00
147;97.00;0.62;-0.11;-0.00;-1.04;-0.00
148;98.00;0.46;-0.11;-0.00;-1.04;-0.01
149;99.00;0.36;-0.11;-0.00;-1.03;-0.01
150;100.00;0.45;-0.11;-0.00;-1.04;-0.02
151;102.00;0.48;-0.11;-0.00;-1.04;-0.01
152;-1.00;0.31;-0.11;-0.00;-1.04;-0.01
153;103.00;0.46;-0.11;-0.00;-1.04;-0.01
154;104.00;0.37;-0.11;-0.00;-1.04;-0.01
155;105.00;0.31;-0.11;-0.00;-1.04;-0.01
156;106.00;0.41;-0.11;-0.00;-1.04;-0.01
157;107.00;0.44;-0.11;-0.00;-1.04;-0.01
158;108.00;0.55;-0.11;-0.00;-1.04;-0.01
159;109.00;0.55;-0.11;-0.00;-1.04;-0.01
160;110.00;0.53;-0.11;-0.00;-1.03;-0.01
161;111.00;0.52;-0.11;-0.00;-1.04;-0.01
162;112.00;0.50;-0.11;-0.01;-1.04;-0.01
163;113.00;0.49;-0.11;-0.00;-1.04;-0.01
164;114.00;0.56;-0.11;-0.00;-1.04;-0.01
165;115.00;0.55;-0.11;-0.00;-1.03;-0.01
166;116.00;0.42;-0.11;-0.00;-1.04;-0.01
167;117.00;0.42;-0.11;-0.00;-1.04;-0.01
168;118.00;0.50;-0.11;-0.00;-1.04;-0.01
169;119.00;0.41;-0.11;-0.00;-1.04;-0.01
170;120.00;0.35;-0.11;-0.00;-1.04;-0.01
171;121.00;0.42;-0.11;-0.00;-1.04;-0.01
172;122.00;0.29;-0.11;0.00;-1.03;-0.00
173;123.00;0.53;-0.11;-0.00;-1.04;-0.01
174;124.00;0.60;-0.11;-0.00;-1.04;-0.01
175;125.00;0.46;-0.11;-0.00;-1.04;-0.00
176;126.00;0.48;-0.11;-0.00;-1.03;-0.00
177;127.00;0.35;-0.11;-0.00;-1.04;-0.01
178;128.00;0.51;-0.11;-0.00;-1.04;-0.00
179;129.00;0.73;-0.11;-0.00;-1.04;-0.01
180;130.00;0.61;-0.11;-0.00;-1.04;-0.01
181;131.00;0.44;-0.11;-0.01;-1.04;-0.01
182;132.00;0.37;-0.11;-0.00;-1.04;-0.01
183;133.00;0.38;-0.11;-0.00;-1.04;-0.01
184;134.00;0.35;-0.11;-0.00;-1.04;-0.01
185;135.00;0.46;-0.11;-0.00;-1.04;-0.01
186;136.00;0.35;-0.11;-0.01;-1.04;-0.00
187;137.00;0.36;-0.11;-0.00;-1.04;-0.01
188;138.00;0.50;-0.11;-0.00;-1.06;-0.01
189;139.00;0.36;-0.11;-0.00;-1.04;-0.01
190;140.00;0.43;-0.11;-0.01;-1.04;-0.01
191;141.00;0.56;-0.11;-0.00;-1.04;-0.01
192;142.00;0.39;-0.11;-0.00;-1.04;-0.01
193;143.00;0.43;-0.11;-0.00;-1.04;-0.01
194;144.00;0.25;-0.11;-0.00;-1.04;-0.01
195;145.00;0.28;-0.11;-0.00;-1.04;-0.01
196;146.00;0.38;-0.11;-0.00;-1.04;-0.02
197;147.00;0.34;-0.11;-0.00;-1.04;-0.01
198;148.00;0.38;-0.11;-0.00;-1.04;-0.01
199;149.00;0.50;-0.11;-0.01;-1.04;-0.01
200;150.00;0.38;-0.11;-0.00;-1.03;-0.01
201;151.00;0.34;-0.11;-0.00;-1.04;-0.01
202;152.00;0.39;-0.11;-0.00;-1.04;-0.01
203;153.00;0.30;-0.11;-0.00;-1.04;-0.01
204;154.00;0.30;-0.11;-0.00;-1.04;-0.01
205;155.00;0.28;-0.11;-0.00;-1.04;-0.01
206;156.00;0.24;-0.11;-0.00;-1.04;-0.01
207;157.00;0.27;-0.11;-0.00;-1.04;-0.01
208;158.00;0.31;-0.11;-0.00;-1.03;-0.02
209;159.00;0.21;-0.11;-0.00;-1.04;-0.01
210;160.00;0.32;-0.11;-0.00;-1.04;-0.01
211;161.00;0.48;-0.11;-0.00;-1.03;-0.01
212;162.00;0.51;-0.11;-0.00;-1.04;-0.01
213;163.00;0.38;-0.11;-0.00;-1.03;-0.01
214;164.00;0.45;-0.11;-0.00;-1.04;-0.01
215;165.00;0.58;-0.11;-0.00;-1.04;-0.01
216;166.00;0.55;-0.11;-0.00;-1.04;-0.01
217;167.00;0.34;-0.11;-0.01;-1.04;-0.01
218;168.00;0.46;-0.11;-0.00;-1.04;-0.01
219;169.00;0.36;-0.11;-0.00;-1.04;-0.01
220;170.00;0.36;-0.11;-0.00;-1.04;-0.01
221;171.00;0.46;-0.11;-0.00;-1.04;-0.00
222;172.00;0.39;-0.11;-0.00;-1.04;-0.01
223;173.00;0.32;-0.11;-0.00;-1.04;-0.01
224;174.00;0.45;-0.11;-0.01;-1.04;-0.01
225;175.00;0.37;-0.11;-0.00;-1.03;-0.01
226;176.00;0.43;-0.11;-0.00;-1.04;-0.01
227;177.00;0.44;-0.11;-0.00;-1.04;-0.00
228;178.00;0.38;-0.11;-0.00;-1.04;-0.02
229;179.00;0.30;-0.11;-0.01;-1.04;-0.01
230;179.00;0.46;-0.11;-0.00;-1.04;-0.01
231;178.00;0.38;-0.11;-0.00;-1.04;-0.01
232;177.00;0.36;-0.11;-0.00;-1.04;-0.01
233;176.00;0.34;-0.11;-0.00;-1.04;-0.01
234;175.00;0.46;-0.11;-0.00;-1.04;-0.01
235;174.00;0.65;-0.11;-0.00;-1.03;-0.01
236;173.00;0.70;-0.11;-0.00;-1.04;-0.01
237;172.00;0.54;-0.11;-0.00;-1.04;-0.01
238;171.00;0.56;-0.11;-0.00;-1.04;-0.01
239;170.00;0.62;-0.11;-0.00;-1.04;-0.01
240;169.00;0.43;-0.11;-0.01;-1.04;-0.01
241;168.00;0.32;-0.11;-0.00;-1.03;-0.01
242;167.00;0.50;-0.11;-0.00;-1.04;-0.01
243;166.00;0.48;-0.11;-0.00;-1.03;-0.00
244;165.00;0.59;-0.11;-0.00;-1.04;-0.01
245;164.00;0.61;-0.11;-0.00;-1.04;-0.01
246;163.00;0.52;-0.11;-0.00;-1.04;-0.01
247;162.00;0.50;-0.11;-0.00;-1.04;-0.00
248;161.00;0.43;-0.11;-0.00;-1.04;-0.00
249;160.00;0.51;-0.11;-0.00;-1.04;-0.02
250;159.00;0.43;-0.11;-0.00;-1.04;-0.01
251;158.00;0.28;-0.11;-0.01;-1.04;-0.01
252;157.00;0.23;-0.11;-0.00;-1.04;-0.01
253;156.00;0.19;-0.11;-0.00;-1.04;-0.01
254;155.00;0.31;-0.11;0.00;-1.03;-0.01
255;154.00;0.39;-0.11;-0.00;-1.04;-0.01
256;153.00;0.40;-0.11;-0.00;-1.04;-0.01
257;152.00;0.45;-0.11;-0.00;-1.04;-0.01
258;151.00;0.54;-0.11;-0.00;-1.03;-0.01
259;150.00;0.33;-0.11;-0.01;-1.04;-0.01
260;149.00;0.37;-0.11;-0.01;-1.04;-0.00
261;148.00;0.45;-0.11;-0.00;-1.04;-0.01
262;147.00;0.40;-0.11;-0.01;-1.03;-0.01
263;146.00;0.42;-0.11;-0.00;-1.04;-0.01
264;145.00;0.34;-0.11;-0.00;-1.04;-0.01
265;144.00;0.17;-0.11;-0.00;-1.04;-0.01
266;143.00;0.39;-0.11;-0.00;-1.03;-0.01
267;142.00;0.72;-0.11;-0.01;-1.05;-0.01
268;141.00;0.62;-0.11;-0.01;-1.04;-0.00
269;140.00;0.40;-0.11;-0.00;-1.04;-0.01
270;139.00;0.30;-0.11;-0.00;-1.04;-0.02
271;138.00;0.59;-0.11;0.00;-1.03;-0.01
272;137.00;0.41;-0.11;-0.00;-1.03;-0.00
273;136.00;0.26;-0.11;-0.00;-1.04;-0.00
274;135.00;0.32;-0.11;-0.00;-1.04;-0.00
275;134.00;0.29;-0.11;-0.01;-1.04;-0.01
276;133.00;0.43;-0.11;-0.00;-1.03;-0.01
277;132.00;0.47;-0.11;-0.00;-1.04;-0.01
278;131.00;0.47;-0.11;-0.00;-1.03;-0.01
279;130.00;0.48;-0.11;-0.00;-1.04;-0.01
280;129.00;0.42;-0.11;-0.00;-1.03;-0.01
281;128.00;0.21;-0.11;-0.00;-1.04;-0.01
282;127.00;0.33;-0.11;-0.00;-1.04;-0.01
283;126.00;0.34;-0.11;-0.00;-1.04;-0.00
284;125.00;0.18;-0.11;0.00;-1.03;-0.01
285;124.00;0.33;-0.11;-0.00;-1.04;-0.00
286;123.00;0.48;-0.11;-0.00;-1.04;-0.01
287;122.00;0.43;-0.11;-0.00;-1.04;-0.01
288;121.00;0.43;-0.11;-0.00;-1.04;-0.01
289;120.00;0.45;-0.11;-0.00;-1.04;-0.01
290;119.00;0.53;-0.11;-0.00;-1.04;-0.01
291;118.00;0.48;-0.11;-0.01;-1.04;-0.01
292;117.00;0.40;-0.11;-0.00;-1.04;-0.02
293;116.00;0.24;-0.11;-0.00;-1.03;-0.00
294;115.00;0.32;-0.11;-0.00;-1.04;-0.01
295;114.00;0.32;-0.11;-0.00;-1.04;-0.01
296;113.00;0.15;-0.11;-0.00;-1.04;-0.01
297;112.00;0.23;-0.11;-0.00;-1.03;-0.01
298;111.00;0.42;-0.11;-0.00;-1.03;-0.01
299;110.00;0.50;-0.11;-0.00;-1.04;-0.01
300;109.00;0.51;-0.11;-0.00;-1.03;-0.01
301;108.00;0.36;-0.11;-0.00;-1.04;-0.01
302;107.00;0.39;-0.11;-0.00;-1.03;-0.00
303;106.00;0.31;-0.11;-0.00;-1.04;-0.01
304;105.00;0.47;-0.11;-0.00;-1.04;-0.01
305;104.00;0.49;-0.11;-0.00;-1.04;-0.01
306;103.00;0.44;-0.11;-0.00;-1.04;-0.01
307;102.00;0.40;-0.11;-0.01;-1.04;-0.01
308;100.00;0.43;-0.11;-0.00;-1.04;-0.00
309;-1.00;0.60;-0.11;0.00;-1.04;-0.00
310;99.00;0.52;-0.11;-0.00;-1.03;-0.01
311;98.00;0.43;-0.11;-0.00;-1.04;-0.01
312;97.00;0.42;-0.11;-0.00;-1.04;-0.01
313;96.00;0.36;-0.11;-0.01;-1.03;-0.01
314;95.00;0.25;-0.11;-0.00;-1.04;-0.02
315;94.00;0.22;-0.11;-0.00;-1.04;-0.01
316;93.00;0.10;-0.11;-0.00;-1.04;-0.01
317;92.00;0.21;-0.11;-0.01;-1.04;-0.01
318;91.00;0.27;-0.11;-0.00;-1.05;-0.02
319;90.00;0.40;-0.11;-0.00;-1.04;-0.02
320;89.00;0.49;-0.11;-0.00;-1.04;-0.01
321;88.00;0.35;-0.11;-0.00;-1.04;-0.01
322;87.00;0.32;-0.11;-0.01;-1.04;-0.01
323;86.00;0.32;-0.11;-0.00;-1.04;-0.01
324;85.00;0.10;-0.11;-0.00;-1.04;-0.01
325;84.00;0.34;-0.11;-0.00;-1.04;-0.01
326;83.00;0.43;-0.11;-0.00;-1.04;-0.01
327;82.00;0.33;-0.11;-0.00;-1.04;-0.01
328;81.00;0.46;-0.11;-0.01;-1.04;-0.02
329;80.00;0.38;-0.11;-0.00;-1.04;-0.01
330;79.00;0.44;-0.11;-0.00;-1.04;-0.01
331;78.00;0.50;-0.11;-0.00;-1.04;-0.01
332;77.00;0.55;-0.11;-0.00;-1.04;-0.01
333;76.00;0.41;-0.11;-0.00;-1.04;-0.01
334;75.00;0.24;-0.11;-0.00;-1.04;-0.00
335;74.00;0.23;-0.11;-0.00;-1.04;-0.01
336;73.00;0.34;-0.11;-0.00;-1.04;-0.01
337;72.00;0.27;-0.11;-0.00;-1.04;-0.01
338;71.00;0.29;-0.11;-0.00;-1.03;-0.01
339;70.00;0.48;-0.11;-0.00;-1.04;-0.01
340;69.00;0.47;-0.11;-0.00;-1.03;-0.00
341;68.00;0.44;-0.11;-0.00;-1.04;-0.01
342;67.00;0.33;-0.11;-0.00;-1.04;-0.01
343;66.00;0.37;-0.11;-0.00;-1.04;-0.02
344;65.00;0.46;-0.11;-0.00;-1.04;-0.01
345;64.00;0.53;-0.11;-0.00;-1.04;-0.00
346;63.00;0.38;-0.11;-0.00;-1.04;-0.01
347;62.00;0.27;-0.11;-0.00;-1.04;-0.01
348;61.00;0.32;-0.11;-0.00;-1.04;-0.01
349;60.00;0.19;-0.11;-0.00;-1.04;-0.01
350;59.00;0.27;-0.11;-0.00;-1.04;-0.01
351;58.00;0.44;-0.11;-0.00;-1.04;-0.01
352;57.00;0.47;-0.11;-0.00;-1.04;-0.00
353;56.00;0.39;-0.11;-0.00;-1.04;-0.01
354;55.00;0.24;-0.11;-0.00;-1.04;-0.01
355;54.00;0.31;-0.11;-0.00;-1.04;-0.01
356;53.00;0.54;-0.11;-0.01;-1.04;-0.01
357;52.00;0.59;-0.11;-0.00;-1.04;-0.00
358;51.00;0.42;-0.11;-0.00;-1.04;-0.01
359;50.00;0.41;-0.11;-0.00;-1.03;-0.02
360;49.00;0.32;-0.11;-0.00;-1.04;-0.01
361;48.00;0.49;-0.11;-0.00;-1.04;-0.01
362;47.00;0.41;-0.11;-0.00;-1.04;-0.01
363;46.00;0.40;-0.11;-0.00;-1.03;-0.00
364;45.00;0.53;-0.11;-0.00;-1.04;-0.01
365;44.00;0.58;-0.11;-0.00;-1.04;-0.01
366;43.00;0.65;-0.11;-0.00;-1.04;-0.01
367;42.00;0.58;-0.11;-0.00;-1.04;-0.01
368;41.00;0.49;-0.11;-0.00;-1.04;-0.01
369;40.00;0.54;-0.11;-0.00;-1.04;-0.01
370;39.00;0.37;-0.11;-0.00;-1.04;-0.01
371;38.00;0.34;-0.11;-0.00;-1.04;-0.01
372;37.00;0.37;-0.11;-0.00;-1.04;-0.01
373;36.00;0.32;-0.11;-0.00;-1.04;-0.01
374;35.00;0.30;-0.11;-0.00;-1.04;-0.01
375;34.00;0.23;-0.11;-0.01;-1.04;-0.01
376;33.00;0.25;-0.11;-0.00;-1.04;-0.01
377;32.00;0.30;-0.11;-0.00;-1.04;-0.01
378;31.00;0.51;-0.11;-0.00;-1.04;-0.01
379;30.00;0.45;-0.11;-0.00;-1.03;-0.01
380;29.00;0.64;-0.11;-0.00;-1.04;-0.00
381;28.00;0.55;-0.11;-0.00;-1.05;-0.02
382;27.00;0.48;-0.11;-0.01;-1.04;-0.01
383;26.00;0.53;-0.11;-0.00;-1.04;-0.02
384;25.00;0.38;-0.11;-0.00;-1.04;-0.00
385;24.00;0.23;-0.11;0.00;-1.03;-0.01
386;23.00;0.41;-0.11;-0.00;-1.04;-0.02
387;22.00;0.63;-0.11;-0.01;-1.05;-0.01
388;21.00;0.47;-0.11;-0.00;-1.03;-0.01
389;20.00;0.30;-0.11;-0.00;-1.04;-0.02
390;19.00;0.32;-0.11;-0.00;-1.03;-0.01
391;18.00;0.41;-0.11;-0.01;-1.04;-0.01
392;17.00;0.38;-0.11;-0.00;-1.04;-0.01
393;16.00;0.43;-0.11;-0.00;-1.03;-0.00
394;15.00;0.41;-0.11;-0.00;-1.04;-0.01
395;14.00;0.43;-0.11;-0.00;-1.03;-0.01
396;13.00;0.39;-0.11;-0.00;-1.03;-0.02
397;12.00;0.32;-0.11;-0.00;-1.04;-0.01
398;11.00;0.45;-0.11;-0.00;-1.04;-0.02
399;10.00;0.49;-0.11;-0.00;-1.04;-0.01
400;9.00;0.53;-0.11;-0.00;-1.04;-0.01
401;8.00;0.70;-0.11;-0.00;-1.04;-0.01
402;7.00;0.59;-0.11;-0.00;-1.04;-0.01
403;6.00;0.53;-0.11;-0.00;-1.04;-0.01
404;5.00;0.62;-0.11;-0.00;-1.04;-0.01
405;4.00;0.63;-0.11;-0.00;-1.04;-0.01
406;3.00;0.37;-0.11;-0.00;-1.04;-0.01
407;2.00;0.37;-0.11;-0.00;-1.04;-0.01
408;1.00;0.49;-0.11;-0.00;-1.04;-0.01
409;0.00;0.51;-0.11;-0.01;-1.04;-0.01
410;0.00;0.42;-0.11;-0.00;-1.04;-0.01
411;0.00;0.29;-0.11;-0.00;-1.03;-0.01
412;0.00;0.40;-0.11;-0.00;-1.04;-0.01
413;0.00;0.34;-0.11;-0.00;-1.04;-0.01
414;0.00;0.35;-0.11;-0.00;-1.03;-0.01
415;0.00;0.45;-0.11;-0.00;-1.04;-0.01
416;0.00;0.45;-0.11;0.00;-1.04;-0.01
417;0.00;0.41;-0.11;-0.00;-1.04;-0.01
418;0.00;0.26;-0.11;-0.00;-1.04;-0.01
419;0.00;0.30;-0.11;-0.00;-1.04;-0.00
420;0.00;0.32;-0.11;-0.00;-1.03;-0.01
421;0.00;0.49;-0.11;-0.00;-1.04;-0.01
422;0.00;0.39;-0.11;-0.00;-1.04;-0.01
423;0.00;0.37;-0.11;-0.01;-1.04;-0.01
424;0.00;0.44;-0.11;-0.00;-1.03;-0.01
425;0.00;0.32;-0.11;-0.00;-1.04;-0.01
426;0.00;0.41;-0.11;-0.00;-1.04;-0.01
427;0.00;0.60;-0.11;-0.00;-1.04;-0.01
428;0.00;0.63;-0.11;-0.00;-1.03;-0.01
429;0.00;0.52;-0.11;-0.00;-1.04;-0.01
430;0.00;0.41;-0.11;-0.00;-1.04;-0.01
431;0.00;0.42;-0.11;-0.00;-1.04;-0.01
432;0.00;0.48;-0.11;-0.00;-1.04;-0.01
433;0.00;0.51;-0.11;-0.00;-1.04;-0.00
434;0.00;0.49;-0.11;-0.00;-1.04;-0.01
435;0.00;0.64;-0.11;-0.00;-1.03;-0.00
436;0.00;0.37;-0.11;-0.00;-1.04;-0.01
437;0.00;0.36;-0.11;-0.00;-1.03;-0.01
438;0.00;0.34;-0.11;-0.00;-1.03;-0.01
439;0.00;0.24;-0.11;-0.00;-1.03;-0.01
440;0.00;0.40;-0.11;-0.00;-1.04;-0.01
441;0.00;0.46;-0.11;-0.00;-1.03;-0.00
442;0.00;0.47;-0.11;-0.00;-1.04;-0.00
443;0.00;0.52;-0.11;-0.00;-1.04;-0.01
444;0.00;0.58;-0.11;-0.00;-1.04;-0.01
445;0.00;0.32;-0.11;-0.00;-1.04;-0.01
446;0.00;0.36;-0.11;-0.00;-1.03;-0.01
447;0.00;0.34;-0.11;-0.00;-1.04;-0.01
448;0.00;0.33;-0.11;-0.00;-1.04;-0.02
449;0.00;0.30;-0.11;-0.00;-1.04;-0.00
450;0.00;0.44;-0.11;-0.00;-1.04;-0.01
451;0.00;0.51;-0.11;-0.00;-1.03;-0.01
452;0.00;0.59;-0.11;-0.01;-1.04;-0.01
453;0.00;0.52;-0.11;-0.00;-1.04;-0.01
454;0.00;0.30;-0.11;-0.01;-1.04;-0.01
455;0.00;0.37;-0.11;-0.00;-1.04;-0.01
456;0.00;0.43;-0.11;-0.00;-1.04;-0.01
457;0.00;0.36;-0.11;-0.00;-1.04;-0.01
458;0.00;0.52;-0.11;-0.00;-1.03;-0.01
459;0.00;0.51;-0.11;-0.00;-1.03;-0.01
460;0.00;0.40;-0.11;-0.00;-1.04;-0.01
